

V E R S I O N   I N F O R M A T I O N :                           

Class                                                     Version 
==================================================================
ObsoleteClass                                                 0   
Rx1768BusProxy                                                0   
Rx1768FiveSlotBus                                             0   
Rx1768ThreeSlotBus                                            0   
Rx5015Bus                                                     0   
Rx5069Bus                                                     1   
Rx5094Bus                                                     1   
RxABus                                                        0   
RxACountableBus                                               0   
RxAExecutionModel                                             0   
RxAFBD_Autotune                                               1   
RxAFBD_Block                                                  2   
RxAFBD_BlockWithAutotune                                      1   
RxAFBD_CompilerRegionList                                     1   
RxAFBD_LanguageElement                                        2   
RxAGLM_GraphicalLanguageContainer                             1   
RxAGLM_OnlineEditingCompositeLanguageContainer                1   
RxAGLX_RegionBasedExecutionModel                              2   
RxAHeterogeneousBus                                           0   
RxALanguageContainer                                          1   
RxANamelessObject                                             0   
RxAProgram                                                   19   
RxARemoteBusProxy                                             0   
RxARoutineFloatingElement                                     4   
RxASCIIDriver                                                 4   
RxASFC_DivergeSimulLegElement                                 1   
RxASFC_ExecutionModel                                         1   
RxASFC_LanguageElementList                                    1   
RxASFC_LegElement                                             1   
RxASFC_OnlineEditingCompositeLanguageContainer                1   
RxASFC_TransitionElement                                      1   
RxASizeableBus                                                0   
RxASupportsRoutineMetadata                                    1   
RxATestPODbConversion                                         0   
RxAction                                                      2   
RxActionCollection                                            1   
RxAlarmCondition                                              0   
RxAlarmConditionCollection                                    0   
RxAlarmConditionDefinition                                    1   
RxAlarmConditionDefinitionCollection                          0   
RxAlarmDigital                                                8   
RxAlarmDigitalCollection                                      0   
RxAlarmSet                                                    0   
RxAlarmSetCollection                                          0   
RxArmorPointBus                                               0   
RxAxis                                                       59   
RxAxisCollection                                              0   
RxBEO                                                         0   
RxBEOCollection                                               0   
RxCIPBus                                                      0   
RxCST                                                         3   
RxChannelBus                                                  0   
RxChart                                                       3   
RxChartCollection                                             0   
RxCompactBus                                                  1   
RxCompactL32CVB                                               0   
RxCompactL32EVB                                               0   
RxCompactL35CRVB                                              0   
RxCompactL35EVB                                               0   
RxCompactVB                                                   0   
RxConnection                                                  7   
RxConnectionCollection                                        1   
RxConnectorGroupCollection                                    0   
RxControlBus                                                  0   
RxControlNetBus                                               0   
RxController                                                104   
RxControllerCollection                                        0   
RxCoordinateSystem                                           12   
RxCoordinateSystemCollection                                  0   
RxDF1Driver                                                   9   
RxData                                                       38   
RxDataBlob                                                    0   
RxDataCollection                                              0   
RxDataLog                                                     4   
RxDataLogCollection                                           0   
RxDataType                                                  177   
RxDataTypeCollection                                          0   
RxDbDataSetFileVersion                                     3865   
RxDbDataSetVersion                                           28   
RxDeviceDiagnosticProfile                                     0   
RxDeviceDiagnosticProfileCollection                           0   
