remark,"CSV-Import-Export"
remark,"Date = Thu Jul 24 23:11:23 2025"
remark,"Version = RSLogix 5000 v35.01"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,CONV_015:I,"","AB:PowerFlex755_E_EF8E23A2:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_015:O,"","AB:PowerFlex755_E_73215AC2:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:1:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:1:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:2:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:2:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:3:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:3:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:4:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:4:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:5:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_A_0:5:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_105:I,"CONV_105 Milled Grain Conveyor #1","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_105:O,"CONV_105 Milled Grain Conveyor #1","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_030:C,"EXHAUST FAN","AB:E300:C:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_030:I,"EXHAUST FAN","AB:E300:I:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_030:O,"EXHAUST FAN","AB:E300:O:1","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FIT_2001:C,"","EH:Promag_300_500:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FIT_2001:I1,"","EH:Promag_300_500_FixIn:I1:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FIT_2001:O1,"","EH:Promag_300_500_FixOut:O1:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,XFV_065:I,"XFV_065 Hammermill #1 Pocket Feeder","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,XFV_065:O,"XFV_065 Hammermill #1 Pocket Feeder","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PMP_2030:I,"","AB:PowerFlex755_E_EF8E23A2:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PMP_2030:O,"","AB:PowerFlex755_E_73215AC2:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_050:I,"CONV_050 Whole Grain Reclaim to Mill #1","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_050:O,"CONV_050 Whole Grain Reclaim to Mill #1","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,WIT_35030:I,"","ME:ACT350_2P_Enet_Block2R:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,WIT_35030:O,"","ME:ACT350_2P_Enet_Block2W:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_040:C,"EXHAUST FAN","AB:E300:C:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_040:I,"EXHAUST FAN","AB:E300:I:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_040:O,"EXHAUST FAN","AB:E300:O:1","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,XFV_080:I,"XFV_080 Cyclone Receiver Rotary Valve #1","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,XFV_080:O,"XFV_080 Cyclone Receiver Rotary Valve #1","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_B_0:1:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_B_0:1:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_B_0:1:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_B_0:2:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_B_0:2:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_B_0:2:O,"","AB:5000_DO16:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,MIL_070:I,"","AB:PowerFlex755_E_EF8E23A2:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,MIL_070:O,"","AB:PowerFlex755_E_73215AC2:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,AGI_2042:I,"","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,AGI_2042:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PMP_2000:I,"","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PMP_2000:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_ENET_35004:I,"","AB:STRATIX_5200_10PORT_GB_MANAGED:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,AGI_2014:I,"","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,AGI_2014:O,"","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLC300_EN4TR:I,"","AB:1756_ENET_7SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLC300_EN4TR:O,"","AB:1756_ENET_7SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLC200_EN4TR:I,"","AB:1756_ENET_7SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PLC200_EN4TR:O,"","AB:1756_ENET_7SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_A_0:1:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_A_0:1:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_A_0:2:C,"","AB:5000_DI32:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP101_A_0:2:I,"","AB:5000_DI32:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_150:I,"CONV_150 Malt Scale Feeder Screw","AB:PowerFlex525V_E_F6C9C23A:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,CONV_150:O,"CONV_150 Malt Scale Feeder Screw","AB:PowerFlex525V_EENET_Drive:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_035:C,"EXHAUST FAN","AB:E300:C:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_035:I,"EXHAUST FAN","AB:E300:I:3","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,FAN_035:O,"EXHAUST FAN","AB:E300:O:1","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:1:C,"","AB:5000_DO16_Diag:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,ENET_ECP100_B_0:1:I,"","AB:5000_DO16_Diag:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
